Title,Index
Matrix Algebra for Engineers | Coursera,462
Finance of Mergers and Acquisitions: Valuation and Pricing | Coursera,463
Business and Financial Modeling | Coursera,464
International Humanitarian Law in Theory and Practice | Coursera,465
Finance & Quantitative Modeling for Analysts | Coursera,466
Introduction to Finance: The Basics by University of Illinois | Coursera,467
Scaling with Google Cloud Operations | Coursera,468
Supply Chain Planning | Coursera,469
Environmental Science | Coursera,470
Valuation and Financial Analysis For Startups Specialization [5 courses] (Yonsei University) | Coursera,471
Power BI Fundamentals | Coursera,472
Leading Teams | Coursera,473
Verbal Communications and Presentation Skills | Coursera,474
Transfer Pricing: Basic concepts and compliances | Coursera,475
Economics of Money and Banking | Coursera,476
Fundamentos del Marketing | Coursera,477
Practical Geospatial Geostatistical Modeling | Coursera,478
Industrial Relations: Fostering Workplace Climate | Coursera,479
Data Visualization with Tableau Project | Coursera,480
Gestión del talento humano | Coursera,481
Storytelling and influencing: Communicate with impact | Coursera,482
Decentralized Finance (DeFi) Primitives | Coursera,483
IBM Data Engineering Professional Certificate | Coursera,484
Improving Customer Retention | Coursera,485
Narrative Economics | Coursera,486
Exam Prep (DEA-C01): AWS Certified Data Engineer - Associate | Coursera,487
Introduction to Data Engineering | Coursera,488
Applied Analytics and Data for Decision Making | Coursera,489
AI for Good | Coursera,490
Statistical Modeling for Data Science Applications Specialization [3 courses] (CU Boulder) | Coursera,491
The Art and Science of Economic Policy | Coursera,492
Critical thinking: reasoned decision making | Coursera,493
Generative AI: Advance Your Human Resources (HR) Career | Coursera,494
Marketing Analytics Foundation | Coursera,495
Investment and Portfolio Management | Coursera,496
Building Web Applications in PHP | Coursera,497
Advanced Programming in Kotlin | Coursera,498
Introduction to Sustainability Course by University of Illinois at Urbana-Champaign | Coursera,499
Generative AI: Turbocharge Mobile App Development | Coursera,500
Unpacking Unconscious Bias in the Workplace | Coursera,501
Algebra: Elementary to Advanced Specialization [3 courses] (Johns Hopkins) | Coursera,502
Canva Design Essentials | Coursera,503
Information Security Analyst Professional Certificate | Coursera,504
Lesson | Small Talk & Conversational Vocabulary | Coursera,505
Data Visualization and Dashboards with Excel and Cognos | Coursera,506
Meta Android Developer Professional Certificate | Coursera,507
Setting Expectations & Assessing Performance Issues | Coursera,508
Fundamentals of Effective Team Management | Coursera,509
Project Planning: Putting It All Together | Coursera,510
Connected Leadership | Coursera,511
Reading Financial Statements | Coursera,512
Cryptography I | Coursera,513
Introduction to Tableau | Coursera,514
Share Data Through the Art of Visualization | Coursera,515
Finance for Non-Financial Professionals | Coursera,516
A Scientific Approach to Innovation Management | Coursera,517
Global Diplomacy – Diplomacy in the Modern World | Coursera,518
Professional Skills for the Workplace Specialization [4 courses] (UC Davis) | Coursera,519
Advanced Statistics for Data Science Specialization [4 courses] (Johns Hopkins) | Coursera,520
Managing Emotions in Times of Uncertainty & Stress | Coursera,521
EU policy and implementation: making Europe work! | Coursera,522
Decision-Making: Blending Art & Science | Coursera,523
Digital Marketing Trends | Coursera,524
"Tax, Real Estate, and Alternative Investment Strategies | Coursera",525
Writing and Editing: Structure and Organization | Coursera,526
Business Statistics and Analysis Specialization [5 courses] (Rice) | Coursera,527
IBM iOS and Android Mobile App Developer Professional Certificate | Coursera,528
Brand New Brand | Coursera,529
Financial Markets by Yale University | Coursera,530
Intro to International Marketing | Coursera,531
U.S. Taxation of International Transactions | Coursera,532
The Payroll Cycle | Coursera,533
Fundamentals of Credit Analysis | Coursera,534
Adobe Graphic Designer Professional Certificate | Coursera,535
Writing in the Sciences by Stanford University | Coursera,536
"Generative AI: Governance, Policy, and Emerging Regulation | Coursera",537
Motors and Motor Control Circuits | Coursera,538
Cloud Systems Software | Coursera,539
Workday Basics Series | Coursera,540
Marine Biology | Coursera,541
English Composition I | Coursera,542
"Brand Management: Aligning Business, Brand and Behaviour | Coursera",543
Google Advanced Data Analytics Professional Certificate | Coursera,544
Global Environmental Management | Coursera,545
Foundational Banking and Financial Services Skills in India | Coursera,546
"Data Modeling, Transformation, and Serving | Coursera",547
Market Research | Coursera,548
Statistics Foundations | Coursera,549
Introduction to AI | Coursera,550
"Healthcare Data Security, Privacy, and Compliance | Coursera",551
Architecting Solutions on AWS | Coursera,552
Speaking to persuade: Motivating audiences with solid arguments and moving language | Coursera,553
Big Data Processing Using Hadoop | Coursera,554
IBM Data Analyst Capstone Project | Coursera,555
Building Relationships with Communication | Coursera,556
Fundamentals of Reinforcement Learning | Coursera,557
UI / UX Design | Coursera,558
Implementing Supply Chain Analytics | Coursera,559
Corporate Strategy | Coursera,560
Leveraging AI for Enhanced Content Creation | Coursera,561
Personal & Family Financial Planning | Coursera,562
Sales Training: Techniques for a Human-Centric Sales Process | Coursera,563
Software Development Processes and Methodologies | Coursera,564
Leadership and Critical Thinking Specialization [3 courses] (Tecnológico de Monterrey) | Coursera,565
Macroeconomics for Business Management | Coursera,566
Selling to Chinese Consumers | Coursera,567
Entrepreneurship: Launching an Innovative Business | Coursera,568
Making Math Click: Understand Math Without Fear | Coursera,569
Agile Dev Practices: SDLC & Project Management | Coursera,570
Security Best Practices in Google Cloud | Coursera,571
Preparing to Manage Human Resources | Coursera,572
The Structured Query Language (SQL) | Coursera,573
Applied Statistics for Data Analytics | Coursera,574
Data Visualization: Fundamentals to Interactive Storytelling | Coursera,575
Introduction to Generative AI by Google Cloud | Coursera,576
AI for Scientific Research | Coursera,577
Geliştiriciler için Üretken Yapay Zeka | Coursera,578
Control Systems Analysis: Modeling of Dynamic Systems | Coursera,579
DevOps Mastery | Coursera,580
FinTech and the Transformation in Financial Services | Coursera,581
Project Management Essentials | Coursera,582
Entrepreneurship Strategy: From Ideation to Exit | Coursera,583
Learn English: Writing Effectively with Complex Sentences Specialization [3 courses] (UC Davis) | Coursera,584
Airport Infrastructure Development | Coursera,585
Communicating Your Best Self | Coursera,586
"Python for Data Science, AI & Development by IBM | Coursera",587
Ubiquitous Learning and Instructional Technologies | Coursera,588
Introduction to Cybersecurity Tools & Cyberattacks | Coursera,589
Creative Writing: The Craft of Style | Coursera,590
More Introduction to Financial Accounting | Coursera,591
